Date,Time,CuMeters,Flow_Scaled,Water_Level
20/03/2020,17:45:00,258346,0,0
20/03/2020,18:00:00,258346,0,0
20/03/2020,18:15:00,258346,0,0
20/03/2020,18:30:00,258346,0,0
20/03/2020,18:45:00,258346,0,0
20/03/2020,19:00:00,258346,0,0
20/03/2020,19:15:00,258346,0,0
20/03/2020,19:30:00,258346,0,0
20/03/2020,19:45:00,258346,0,0
20/03/2020,20:00:00,258346,0,0
20/03/2020,20:15:00,258346,0,0
20/03/2020,20:30:00,258346,0,0
20/03/2020,20:45:00,258346,0,0
20/03/2020,21:00:00,258346,0,0
20/03/2020,21:15:00,258346,0,0
20/03/2020,21:30:00,258346,0,0
20/03/2020,21:45:00,258346,0,0
20/03/2020,22:00:00,258346,0,0
20/03/2020,22:15:00,258346,0,0
20/03/2020,22:30:00,258346,0,0
20/03/2020,22:45:00,258346,0,0
20/03/2020,23:00:00,258346,0,0
20/03/2020,23:15:00,258346,0,0
20/03/2020,23:30:00,258346,0,0
20/03/2020,23:45:00,258346,0,0
21/03/2020,0:00:00,258346,0,0
21/03/2020,0:15:00,258346,0,0
21/03/2020,0:30:00,258346,0,0
21/03/2020,0:45:00,258346,0,0
21/03/2020,1:00:00,258346,0,0
21/03/2020,1:15:00,258346,0,0
21/03/2020,1:30:00,258346,0,0
21/03/2020,1:45:00,258346,0,0
21/03/2020,2:00:00,258346,0,0
21/03/2020,2:15:00,258346,0,0
21/03/2020,2:30:00,258346,0,0
21/03/2020,2:45:00,258346,0,0
21/03/2020,3:00:00,258346,0,0
21/03/2020,3:15:00,258346,0,0
21/03/2020,3:30:00,258346,0,0
21/03/2020,3:45:00,258346,0,0
21/03/2020,4:00:00,258346,0,0
21/03/2020,4:15:00,258346,0,0
21/03/2020,4:30:00,258346,0,0
21/03/2020,4:45:00,258346,0,0
21/03/2020,5:00:00,258346,0,0
21/03/2020,5:15:00,258346,0,0
21/03/2020,5:30:00,258346,0,0
21/03/2020,5:45:00,258346,0,0
21/03/2020,6:00:00,258346,0,0
21/03/2020,6:15:00,258346,0,0
21/03/2020,6:30:00,258346,0,0
21/03/2020,6:45:00,258346,0,0
21/03/2020,7:00:00,258346,0,0
21/03/2020,7:15:00,258346,0,0
21/03/2020,7:30:00,258346,0,0
21/03/2020,7:45:00,258346,0,0
21/03/2020,8:00:00,258346,0,0
21/03/2020,8:15:00,258346,0,0
21/03/2020,8:30:00,258346,0,0
21/03/2020,8:45:00,258346,0,0
21/03/2020,9:00:00,258346,0,0
21/03/2020,9:15:00,258346,0,0
21/03/2020,9:30:00,258346,0,0
21/03/2020,9:45:00,258346,0,0
21/03/2020,10:00:00,258346,0,0
21/03/2020,10:15:00,258346,0,0
21/03/2020,10:30:00,258346,0,0
21/03/2020,10:45:00,258346,0,0
21/03/2020,11:00:00,258346,0,0
21/03/2020,11:15:00,258346,0,0
21/03/2020,11:30:00,258346,0,0
21/03/2020,11:45:00,258346,0,0
21/03/2020,12:00:00,258346,0,0
21/03/2020,12:15:00,258346,0,0
21/03/2020,12:30:00,258346,0,0
21/03/2020,12:45:00,258346,0,0
21/03/2020,13:00:00,258346,0,0
21/03/2020,13:15:00,258346,0,0
21/03/2020,13:30:00,258346,0,0
21/03/2020,13:45:00,258346,0,0
21/03/2020,14:00:00,258346,0,0
21/03/2020,14:15:00,258346,0,0
21/03/2020,14:30:00,258346,0,0
21/03/2020,14:45:00,258346,0,0
21/03/2020,15:00:00,258346,0,0
21/03/2020,15:15:00,258346,0,0
21/03/2020,15:30:00,258346,0,0
21/03/2020,15:45:00,258346,0,0
21/03/2020,16:00:00,258346,0,0
21/03/2020,16:15:00,258346,0,0
21/03/2020,16:30:00,258346,0,0
21/03/2020,16:45:00,258346,0,0
21/03/2020,17:00:00,258346,0,0
21/03/2020,17:15:00,258346,0,0
21/03/2020,17:30:00,258346,0,0
21/03/2020,17:45:00,258346,0,0
21/03/2020,18:00:00,258346,0,0
21/03/2020,18:15:00,258346,0,0
21/03/2020,18:30:00,258346,0,0
21/03/2020,18:45:00,258346,0,0
21/03/2020,19:00:00,258346,0,0
21/03/2020,19:15:00,258346,0,0
21/03/2020,19:30:00,258346,0,0
21/03/2020,19:45:00,258346,0,0
21/03/2020,20:00:00,258346,0,0
21/03/2020,20:15:00,258346,0,0
21/03/2020,20:30:00,258346,0,0
21/03/2020,20:45:00,258346,0,0
21/03/2020,21:00:00,258346,0,0
21/03/2020,21:15:00,258346,0,0
21/03/2020,21:30:00,258346,0,0
21/03/2020,21:45:00,258346,0,0
21/03/2020,22:00:00,258346,0,0
21/03/2020,22:15:00,258346,0,0
21/03/2020,22:30:00,258346,0,0
21/03/2020,22:45:00,258346,0,0
21/03/2020,23:00:00,258346,0,0
21/03/2020,23:15:00,258346,0,0
21/03/2020,23:30:00,258346,0,0
21/03/2020,23:45:00,258346,0,0
22/03/2020,0:00:00,258346,0,0
22/03/2020,0:15:00,258346,0,0
22/03/2020,0:30:00,258346,0,0
22/03/2020,0:45:00,258346,0,0
22/03/2020,1:00:00,258346,0,0
22/03/2020,1:15:00,258346,0,0
22/03/2020,1:30:00,258346,0,0
22/03/2020,1:45:00,258346,0,0
22/03/2020,2:00:00,258346,0,0
22/03/2020,2:15:00,258346,0,0
22/03/2020,2:30:00,258346,0,0
22/03/2020,2:45:00,258346,0,0
22/03/2020,3:00:00,258346,0,0
22/03/2020,3:15:00,258346,0,0
22/03/2020,3:30:00,258346,0,0
22/03/2020,3:45:00,258346,0,0
22/03/2020,4:00:00,258346,0,0
22/03/2020,4:15:00,258346,0,0
22/03/2020,4:30:00,258346,0,0
22/03/2020,4:45:00,258346,0,0
22/03/2020,5:00:00,258346,0,0
22/03/2020,5:15:00,258346,0,0
22/03/2020,5:30:00,258346,0,0
22/03/2020,5:45:00,258346,0,0
22/03/2020,6:00:00,258346,0,0
22/03/2020,6:15:00,258346,0,0
22/03/2020,6:30:00,258346,0,0
22/03/2020,6:45:00,258346,0,0
22/03/2020,7:00:00,258346,0,0
22/03/2020,7:15:00,258346,0,0
22/03/2020,7:30:00,258346,0,0
22/03/2020,7:45:00,258346,0,0
22/03/2020,8:00:00,258346,0,0
22/03/2020,8:15:00,258346,0,0
22/03/2020,8:30:00,258346,0,0
22/03/2020,8:45:00,258346,0,0
22/03/2020,9:00:00,258346,0,0
22/03/2020,9:15:00,258346,0,0
22/03/2020,9:30:00,258346,0,0
22/03/2020,9:45:00,258346,0,0
22/03/2020,10:00:00,258346,0,0
22/03/2020,10:15:00,258346,0,0
22/03/2020,10:30:00,258346,0,0
22/03/2020,10:45:00,258346,0,0
22/03/2020,11:00:00,258346,0,0
22/03/2020,11:15:00,258346,0,0
22/03/2020,11:30:00,258346,0,0
22/03/2020,11:45:00,258346,0,0
22/03/2020,12:00:00,258346,0,0
22/03/2020,12:15:00,258346,0,0
22/03/2020,12:30:00,258346,0,0
22/03/2020,12:45:00,258346,0,0
22/03/2020,13:00:00,258346,0,0
22/03/2020,13:15:00,258346,0,0
22/03/2020,13:30:00,258346,0,0
22/03/2020,13:45:00,258346,0,0
22/03/2020,14:00:00,258346,0,0
22/03/2020,14:15:00,258346,0,0
22/03/2020,14:30:00,258346,0,0
22/03/2020,14:45:00,258346,0,0
22/03/2020,15:00:00,258346,0,0
22/03/2020,15:15:00,258346,0,0
22/03/2020,15:30:00,258346,0,0
22/03/2020,15:45:00,258346,0,0
22/03/2020,16:00:00,258346,0,0
22/03/2020,16:15:00,258346,0,0
22/03/2020,16:30:00,258346,0,0
22/03/2020,16:45:00,258346,0,0
22/03/2020,17:00:00,258346,0,0
22/03/2020,17:15:00,258346,0,0
22/03/2020,17:30:00,258346,0,0
22/03/2020,17:45:00,258346,0,0
22/03/2020,18:00:00,258346,0,0
22/03/2020,18:15:00,258346,0,0
22/03/2020,18:30:00,258346,0,0
22/03/2020,18:45:00,258346,0,0
22/03/2020,19:00:00,258346,0,0
22/03/2020,19:15:00,258346,0,0
22/03/2020,19:30:00,258346,0,0
22/03/2020,19:45:00,258346,0,0
22/03/2020,20:00:00,258346,0,0
22/03/2020,20:15:00,258346,0,0
22/03/2020,20:30:00,258346,0,0
22/03/2020,20:45:00,258346,0,0
22/03/2020,21:00:00,258346,0,0
22/03/2020,21:15:00,258346,0,0
22/03/2020,21:30:00,258346,0,0
22/03/2020,21:45:00,258346,0,0
22/03/2020,22:00:00,258346,0,0
22/03/2020,22:15:00,258346,0,0
22/03/2020,22:30:00,258346,0,0
22/03/2020,22:45:00,258346,0,0
22/03/2020,23:00:00,258346,0,0
22/03/2020,23:15:00,258346,0,0
22/03/2020,23:30:00,258346,0,0
22/03/2020,23:45:00,258346,0,0
23/03/2020,0:00:00,258346,0,0
23/03/2020,0:15:00,258346,0,0
23/03/2020,0:30:00,258346,0,0
23/03/2020,0:45:00,258346,0,0
23/03/2020,1:00:00,258346,0,0
23/03/2020,1:15:00,258346,0,0
23/03/2020,1:30:00,258346,0,0
23/03/2020,1:45:00,258346,0,0
23/03/2020,2:00:00,258346,0,0
23/03/2020,2:15:00,258346,0,0
23/03/2020,2:30:00,258346,0,0
23/03/2020,2:45:00,258346,0,0
23/03/2020,3:00:00,258346,0,0
23/03/2020,3:15:00,258346,0,0
23/03/2020,3:30:00,258346,0,0
23/03/2020,3:45:00,258346,0,0
23/03/2020,4:00:00,258346,0,0
23/03/2020,4:15:00,258346,0,0
23/03/2020,4:30:00,258346,0,0
23/03/2020,4:45:00,258346,0,0
23/03/2020,5:00:00,258346,0,0
23/03/2020,5:15:00,258346,0,0
23/03/2020,5:30:00,258346,0,0
23/03/2020,5:45:00,258346,0,0
23/03/2020,6:00:00,258346,0,0
23/03/2020,6:15:00,258346,0,0
23/03/2020,6:30:00,258346,0,0
23/03/2020,6:45:00,258346,0,0
23/03/2020,7:00:00,258346,0,0
23/03/2020,7:15:00,258346,0,0
23/03/2020,7:30:00,258346,0,0
23/03/2020,7:45:00,258346,0,0
23/03/2020,8:00:00,258346,0,0
23/03/2020,8:15:00,258346,0,0
23/03/2020,8:30:00,258346,0,0
23/03/2020,8:45:00,258346,0,0
23/03/2020,9:00:00,258346,0,0
23/03/2020,9:15:00,258346,0,0
23/03/2020,9:30:00,258346,0,0
23/03/2020,9:45:00,258346,0,0
23/03/2020,10:00:00,258346,0,0
23/03/2020,10:15:00,258346,0,0
23/03/2020,10:30:00,258346,0,0
23/03/2020,10:45:00,258346,0,0
23/03/2020,11:00:00,258346,0,0
23/03/2020,11:15:00,258346,0,0
23/03/2020,11:30:00,258346,0,0
23/03/2020,11:45:00,258346,0,0
23/03/2020,12:00:00,258346,0,0
23/03/2020,12:15:00,258346,0,0
23/03/2020,12:30:00,258346,0,0
23/03/2020,12:45:00,258346,0,0
23/03/2020,13:00:00,258346,0,0
23/03/2020,13:15:00,258346,0,0
23/03/2020,13:30:00,258346,0,0
23/03/2020,13:45:00,258346,0,0
23/03/2020,14:00:00,258346,0,0
23/03/2020,14:15:00,258346,0,0
23/03/2020,14:30:00,258346,0,0
23/03/2020,14:45:00,258346,0,0
23/03/2020,15:00:00,258346,0,0
23/03/2020,16:00:00,258346,0,0
23/03/2020,16:15:00,258346,0,0
23/03/2020,16:30:00,258346,0,0
23/03/2020,16:45:00,258346,0,0
23/03/2020,17:00:00,258346,0,0
23/03/2020,17:15:00,258346,0,0
23/03/2020,17:30:00,258346,0,0
23/03/2020,17:45:00,258346,0,0
23/03/2020,18:00:00,258346,0,0
23/03/2020,18:15:00,258346,0,0
23/03/2020,18:30:00,258346,0,0
23/03/2020,18:45:00,258346,0,0
23/03/2020,19:00:00,258346,0,0
23/03/2020,19:15:00,258346,0,0
23/03/2020,19:30:00,258346,0,0
23/03/2020,19:45:00,258346,0,0
23/03/2020,20:00:00,258346,0,0
23/03/2020,20:15:00,258346,0,0
23/03/2020,20:30:00,258346,0,0
23/03/2020,20:45:00,258346,0,0
23/03/2020,21:00:00,258346,0,0
23/03/2020,21:15:00,258346,0,0
23/03/2020,21:30:00,258346,0,0
23/03/2020,21:45:00,258346,0,0
23/03/2020,22:00:00,258346,0,0
23/03/2020,22:15:00,258346,0,0
23/03/2020,22:30:00,258346,0,0
23/03/2020,22:45:00,258346,0,0
23/03/2020,23:00:00,258346,0,0
23/03/2020,23:15:00,258346,0,0
23/03/2020,23:30:00,258346,0,0
23/03/2020,23:45:00,258346,0,0
24/03/2020,0:00:00,258346,0,0
24/03/2020,0:15:00,258346,0,0
24/03/2020,0:30:00,258346,0,0
24/03/2020,0:45:00,258346,0,0
24/03/2020,1:00:00,258346,0,0
24/03/2020,1:15:00,258346,0,0
24/03/2020,1:30:00,258346,0,0
24/03/2020,1:45:00,258346,0,0
24/03/2020,2:00:00,258346,0,0
24/03/2020,2:15:00,258346,0,0
24/03/2020,2:30:00,258346,0.001875,0
24/03/2020,2:45:00,258346,0,0
24/03/2020,3:00:00,258346,0.001875,0
24/03/2020,3:15:00,258346,0,0
24/03/2020,3:30:00,258346,0,0
24/03/2020,3:45:00,258346,0,0
24/03/2020,4:00:00,258346,0,0
24/03/2020,4:15:00,258346,0,0
24/03/2020,4:30:00,258346,0,0
24/03/2020,4:45:00,258346,0.001875,0
24/03/2020,5:00:00,258346,0,0
24/03/2020,5:15:00,258346,0,0
24/03/2020,6:00:00,258346,0.0075,0
24/03/2020,6:15:00,258346,0.0009375,0
24/03/2020,6:30:00,258346,0,0
24/03/2020,6:45:00,258346,0,0
24/03/2020,7:00:00,258346,0,0
24/03/2020,7:15:00,258346,0,0
24/03/2020,7:30:00,258346,0.005625,0
24/03/2020,7:45:00,258346,0,0
24/03/2020,8:00:00,258346,0.01125,0
24/03/2020,8:15:00,258346,0,0
24/03/2020,8:30:00,258346,0.0065625,0
24/03/2020,8:45:00,258346,0,0
24/03/2020,9:00:00,258346,0.015,0
24/03/2020,9:15:00,258346,0,0
24/03/2020,9:30:00,258346,0.009375,0
24/03/2020,9:45:00,258346,0,0
24/03/2020,10:00:00,258346,0,0
24/03/2020,10:15:00,258346,0,0
24/03/2020,10:30:00,258346,0,0
24/03/2020,10:45:00,258346,0,0
24/03/2020,11:00:00,258346,0,0
24/03/2020,11:15:00,258346,0,0
24/03/2020,11:30:00,258346,0,0
24/03/2020,11:45:00,258346,0,0
24/03/2020,12:00:00,258346,0,0
24/03/2020,12:15:00,258346,0,0
24/03/2020,12:30:00,258346,0,0
24/03/2020,12:45:00,258346,0,0
24/03/2020,13:00:00,258346,0,0
24/03/2020,13:15:00,258346,0.001875,0
24/03/2020,13:30:00,258346,0,0
24/03/2020,13:45:00,258346,0,0
24/03/2020,14:00:00,258346,0,0
24/03/2020,14:15:00,258346,0,0
24/03/2020,14:30:00,258346,0,0
24/03/2020,14:45:00,258346,0,0
24/03/2020,15:00:00,258346,0,0
24/03/2020,15:15:00,258346,0,0
24/03/2020,15:30:00,258346,0,0
24/03/2020,15:45:00,258346,0,0
24/03/2020,16:00:00,258346,0,0
24/03/2020,16:15:00,258346,0,0
24/03/2020,16:30:00,258346,0,0
24/03/2020,16:45:00,258346,0,0
24/03/2020,17:00:00,258346,0,0
24/03/2020,17:15:00,258346,0,0
24/03/2020,17:30:00,258346,0,0
24/03/2020,17:45:00,258346,0,0
24/03/2020,18:00:00,258346,0,0
24/03/2020,18:15:00,258346,0,0
24/03/2020,18:30:00,258346,0,0
24/03/2020,18:45:00,258346,0,0
24/03/2020,19:00:00,258346,0,0
24/03/2020,19:15:00,258346,0,0
24/03/2020,19:30:00,258346,0.001875,0
24/03/2020,19:45:00,258346,0,0
24/03/2020,20:00:00,258346,0,0
24/03/2020,20:15:00,258346,0,0
24/03/2020,20:30:00,258346,0,0
24/03/2020,20:45:00,258346,0,0
24/03/2020,21:00:00,258346,0,0
24/03/2020,21:15:00,258346,0,0
24/03/2020,21:30:00,258346,0,0
24/03/2020,21:45:00,258346,0,0
24/03/2020,22:00:00,258346,0,0
24/03/2020,22:15:00,258346,0,0
24/03/2020,22:30:00,258346,0,0
24/03/2020,22:45:00,258346,0,0
24/03/2020,23:00:00,258346,0,0
24/03/2020,23:15:00,258346,0,0
24/03/2020,23:30:00,258346,0,0
24/03/2020,23:45:00,258346,0,0
25/03/2020,0:00:00,258346,0,0
25/03/2020,0:15:00,258346,0,0
25/03/2020,0:30:00,258346,0,0
25/03/2020,0:45:00,258346,0,0
25/03/2020,1:00:00,258346,0,0
25/03/2020,1:15:00,258346,0,0
25/03/2020,1:30:00,258346,0,0
25/03/2020,1:45:00,258346,0,0
25/03/2020,2:00:00,258346,0,0
25/03/2020,2:15:00,258346,0,0
25/03/2020,2:30:00,258346,0,0
25/03/2020,2:45:00,258346,0,0
25/03/2020,3:00:00,258346,0,0
25/03/2020,3:15:00,258346,0,0
25/03/2020,3:30:00,258346,0,0
25/03/2020,3:45:00,258346,0,0
25/03/2020,4:00:00,258346,0,0
25/03/2020,4:15:00,258346,0,0
25/03/2020,4:30:00,258346,0,0
25/03/2020,4:45:00,258346,0,0
25/03/2020,5:00:00,258346,0,0
25/03/2020,5:15:00,258346,0,0
25/03/2020,5:30:00,258346,0,0
25/03/2020,5:45:00,258346,0,0
25/03/2020,6:00:00,258346,0,0
25/03/2020,6:15:00,258346,0,0
25/03/2020,6:30:00,258346,0,0
25/03/2020,6:45:00,258346,0,0
25/03/2020,7:00:00,258346,0,0
25/03/2020,7:15:00,258346,0,0
25/03/2020,7:30:00,258346,0,0
25/03/2020,7:45:00,258346,0,0
25/03/2020,8:00:00,258346,0,0
25/03/2020,8:15:00,258346,0,0
25/03/2020,8:30:00,258346,0,0
25/03/2020,8:45:00,258346,0,0
25/03/2020,9:00:00,258346,0,0
25/03/2020,9:15:00,258346,0,0
25/03/2020,9:30:00,258346,0,0
25/03/2020,9:45:00,258346,0,0
25/03/2020,10:00:00,258346,0,0
25/03/2020,10:15:00,258346,0,0
25/03/2020,10:30:00,258346,0,0
25/03/2020,10:45:00,258346,0,0
25/03/2020,11:00:00,258346,0,0
25/03/2020,11:15:00,258346,0,0
25/03/2020,11:30:00,258346,0,0
25/03/2020,11:45:00,258346,0,0
25/03/2020,12:00:00,258346,0,0
25/03/2020,12:15:00,258346,0,0
25/03/2020,12:30:00,258346,0,0
25/03/2020,12:45:00,258346,0,0
25/03/2020,13:00:00,258346,0,0
25/03/2020,13:15:00,258346,0,0
25/03/2020,13:30:00,258346,0,0
25/03/2020,13:45:00,258346,0,0
25/03/2020,14:00:00,258346,0,0
25/03/2020,14:15:00,258346,0,0
25/03/2020,14:30:00,258346,0,0
25/03/2020,14:45:00,258346,0,0
25/03/2020,15:00:00,258346,0,0
25/03/2020,15:15:00,258346,0,0
25/03/2020,15:30:00,258346,0,0
25/03/2020,15:45:00,258346,0,0
25/03/2020,16:00:00,258346,0,0
25/03/2020,16:15:00,258346,0,0
25/03/2020,16:30:00,258346,0,0
25/03/2020,16:45:00,258346,0,0
25/03/2020,17:00:00,258346,0,0
25/03/2020,17:15:00,258346,0,0
25/03/2020,17:30:00,258346,0,0
25/03/2020,17:45:00,258346,0,0
25/03/2020,18:00:00,258346,0,0
25/03/2020,18:15:00,258346,0,0
25/03/2020,18:30:00,258346,0,0
25/03/2020,18:45:00,258346,0,0
25/03/2020,19:00:00,258346,0,0
25/03/2020,19:15:00,258346,0,0
25/03/2020,19:30:00,258346,0,0
25/03/2020,19:45:00,258346,0,0
25/03/2020,20:00:00,258346,0,0
25/03/2020,20:15:00,258346,0,0
25/03/2020,20:30:00,258346,0,0
25/03/2020,20:45:00,258346,0,0
25/03/2020,21:00:00,258346,0,0
25/03/2020,21:15:00,258346,0,0
25/03/2020,21:30:00,258346,0,0
25/03/2020,21:45:00,258346,0,0
25/03/2020,22:00:00,258346,0,0
25/03/2020,22:15:00,258346,0,0
25/03/2020,22:30:00,258346,0,0
25/03/2020,22:45:00,258346,0,0
25/03/2020,23:00:00,258346,0,0
25/03/2020,23:15:00,258346,0,0
25/03/2020,23:30:00,258346,0,0
25/03/2020,23:45:00,258346,0,0
26/03/2020,0:00:00,258346,0,0
26/03/2020,0:15:00,258346,0,0
26/03/2020,0:30:00,258346,0,0
26/03/2020,0:45:00,258346,0,0
26/03/2020,1:00:00,258346,0,0
26/03/2020,1:15:00,258346,0,0
26/03/2020,1:30:00,258346,0,0
26/03/2020,1:45:00,258346,0,0
26/03/2020,2:00:00,258346,0,0
26/03/2020,2:15:00,258346,0,0
26/03/2020,2:30:00,258346,0,0
26/03/2020,2:45:00,258346,0,0
26/03/2020,3:00:00,258346,0,0
26/03/2020,3:15:00,258346,0,0
26/03/2020,3:30:00,258346,0,0
26/03/2020,3:45:00,258346,0,0
26/03/2020,4:00:00,258346,0,0
26/03/2020,4:15:00,258346,0,0
26/03/2020,4:30:00,258346,0,0
26/03/2020,4:45:00,258346,0,0
26/03/2020,5:00:00,258346,0,0
26/03/2020,5:15:00,258346,0,0
26/03/2020,5:30:00,258346,0,0
26/03/2020,5:45:00,258346,0,0
26/03/2020,6:00:00,258346,0,0
26/03/2020,6:15:00,258346,0,0
26/03/2020,6:30:00,258346,0,0
26/03/2020,6:45:00,258346,0,0
26/03/2020,7:00:00,258346,0,0
26/03/2020,7:15:00,258346,0,0
26/03/2020,7:30:00,258346,0,0
26/03/2020,7:45:00,258346,0,0
26/03/2020,8:00:00,258346,0,0
26/03/2020,8:15:00,258346,0,0
26/03/2020,8:30:00,258346,0,0
26/03/2020,8:45:00,258346,0,0
26/03/2020,9:00:00,258346,0,0
26/03/2020,9:15:00,258346,0,0
26/03/2020,9:30:00,258346,0,0
26/03/2020,9:45:00,258346,0,0
26/03/2020,10:00:00,258346,0,0
26/03/2020,10:15:00,258346,0,0
26/03/2020,10:30:00,258346,0,0
26/03/2020,10:45:00,258346,0,0
26/03/2020,11:00:00,258346,0,0
26/03/2020,11:15:00,258346,0,0
26/03/2020,11:30:00,258346,0,0
26/03/2020,11:45:00,258346,0,0
26/03/2020,12:00:00,258346,0,0
26/03/2020,12:15:00,258346,0,0
26/03/2020,12:30:00,258346,0,0
26/03/2020,12:45:00,258346,0,0
26/03/2020,13:00:00,258346,0,0
26/03/2020,13:15:00,258346,0,0
26/03/2020,13:30:00,258346,0,0
26/03/2020,13:45:00,258346,0,0
26/03/2020,14:00:00,258346,0,0
26/03/2020,14:15:00,258346,0,0
26/03/2020,14:30:00,258346,0,0
26/03/2020,14:45:00,258346,0,0
26/03/2020,15:00:00,258346,0,0
26/03/2020,15:15:00,258346,0,0
26/03/2020,15:30:00,258346,0,0
26/03/2020,15:45:00,258346,0,0
26/03/2020,16:00:00,258346,0,0
26/03/2020,16:15:00,258346,0,0
26/03/2020,16:30:00,258346,0,0
26/03/2020,16:45:00,258346,0,0
26/03/2020,17:00:00,258346,0,0
26/03/2020,17:15:00,258346,0,0
26/03/2020,17:30:00,258346,0,0
26/03/2020,17:45:00,258346,0,0
26/03/2020,18:00:00,258346,0,0
26/03/2020,18:15:00,258346,0,0
26/03/2020,18:30:00,258346,0,0
26/03/2020,18:45:00,258346,0,0
26/03/2020,19:00:00,258346,0,0
26/03/2020,19:15:00,258346,0,0
26/03/2020,19:30:00,258346,0,0
26/03/2020,19:45:00,258346,0,0
26/03/2020,20:00:00,258346,0,0
26/03/2020,20:15:00,258346,0,0
26/03/2020,20:30:00,258346,0,0
26/03/2020,20:45:00,258346,0,0
26/03/2020,21:00:00,258346,0,0
26/03/2020,21:15:00,258346,0,0
26/03/2020,21:30:00,258346,0,0
26/03/2020,21:45:00,258346,0,0
26/03/2020,22:00:00,258346,0,0
26/03/2020,22:15:00,258346,0,0
26/03/2020,22:30:00,258346,0,0
26/03/2020,22:45:00,258346,0,0
26/03/2020,23:00:00,258346,0,0
26/03/2020,23:15:00,258346,0,0
26/03/2020,23:30:00,258346,0,0
26/03/2020,23:45:00,258346,0,0
27/03/2020,0:00:00,258346,0,0
27/03/2020,0:15:00,258346,0,0
27/03/2020,0:30:00,258346,0,0
27/03/2020,0:45:00,258346,0,0
27/03/2020,1:00:00,258346,0,0
27/03/2020,1:15:00,258346,0,0
27/03/2020,1:30:00,258346,0,0
27/03/2020,1:45:00,258346,0,0
27/03/2020,2:00:00,258346,0,0
27/03/2020,2:15:00,258346,0,0
27/03/2020,2:30:00,258346,0,0
27/03/2020,2:45:00,258346,0,0
27/03/2020,3:00:00,258346,0,0
27/03/2020,3:15:00,258346,0,0
27/03/2020,3:30:00,258346,0,0
27/03/2020,3:45:00,258346,0,0
27/03/2020,4:00:00,258346,0,0
27/03/2020,4:15:00,258346,0,0
27/03/2020,4:30:00,258346,0,0
27/03/2020,4:45:00,258346,0,0
27/03/2020,5:00:00,258346,0,0
27/03/2020,5:15:00,258346,0,0
27/03/2020,5:30:00,258346,0,0
27/03/2020,5:45:00,258346,0,0
27/03/2020,6:00:00,258346,0,0
27/03/2020,6:15:00,258346,0,0
27/03/2020,6:30:00,258346,0,0
27/03/2020,6:45:00,258346,0,0
27/03/2020,7:00:00,258346,0,0
27/03/2020,7:15:00,258346,0,0
27/03/2020,7:30:00,258346,0,0
27/03/2020,7:45:00,258346,0,0
27/03/2020,8:00:00,258346,0,0
27/03/2020,8:15:00,258346,0,0
27/03/2020,8:30:00,258346,0,0
27/03/2020,8:45:00,258346,0,0
27/03/2020,9:00:00,258346,0,0
27/03/2020,9:15:00,258346,0,0
27/03/2020,9:30:00,258346,0,0
27/03/2020,9:45:00,258346,0,0
27/03/2020,10:00:00,258346,0,0
27/03/2020,10:15:00,258346,0,0
27/03/2020,10:30:00,258346,0,0
27/03/2020,10:45:00,258346,0,0
27/03/2020,11:00:00,258346,0,0
27/03/2020,11:15:00,258346,0,0
27/03/2020,11:30:00,258346,0,0
27/03/2020,11:45:00,258346,0,0
27/03/2020,12:00:00,258346,0,0
27/03/2020,12:15:00,258346,0,0
27/03/2020,12:30:00,258346,0,0
27/03/2020,12:45:00,258346,0,0
27/03/2020,13:00:00,258346,0,0
27/03/2020,13:15:00,258346,0,0
27/03/2020,13:30:00,258346,0,0
27/03/2020,13:45:00,258346,0,0
27/03/2020,14:00:00,258346,0,0
27/03/2020,14:15:00,258346,0,0
27/03/2020,14:30:00,258346,0,0
27/03/2020,14:45:00,258346,0,0
27/03/2020,15:00:00,258346,0,0
27/03/2020,15:15:00,258346,0,0
27/03/2020,15:30:00,258346,0,0
27/03/2020,15:45:00,258346,0,0
27/03/2020,16:00:00,258346,0,0
27/03/2020,16:15:00,258346,0,0
27/03/2020,16:30:00,258346,0,0
27/03/2020,16:45:00,258346,0,0
27/03/2020,17:00:00,258346,0,0
27/03/2020,17:15:00,258346,0,0
27/03/2020,17:30:00,258346,0,0
27/03/2020,17:45:00,258346,0,0
27/03/2020,18:00:00,258346,0,0
27/03/2020,18:15:00,258346,0,0
27/03/2020,18:30:00,258346,0,0
27/03/2020,18:45:00,258346,0,0
27/03/2020,19:00:00,258346,0,0
27/03/2020,19:15:00,258346,0,0
27/03/2020,19:30:00,258346,0,0
27/03/2020,19:45:00,258346,0,0
27/03/2020,20:00:00,258346,0,0
27/03/2020,20:15:00,258346,0,0
27/03/2020,20:30:00,258346,0,0
27/03/2020,20:45:00,258346,0,0
27/03/2020,21:00:00,258346,0,0
27/03/2020,21:15:00,258346,0,0
27/03/2020,21:30:00,258346,0,0
27/03/2020,21:45:00,258346,0,0
27/03/2020,22:00:00,258346,0,0
27/03/2020,22:15:00,258346,0,0
27/03/2020,22:30:00,258346,0,0
27/03/2020,22:45:00,258346,0,0
27/03/2020,23:00:00,258346,0,0
27/03/2020,23:15:00,258346,0,0
27/03/2020,23:30:00,258346,0,0
27/03/2020,23:45:00,258346,0.001875,0
28/03/2020,0:00:00,258346,0,0
28/03/2020,0:15:00,258346,0,0
28/03/2020,0:30:00,258346,0,0
28/03/2020,0:45:00,258346,0,0
